axis_name,event_type,start_time,end_time,duration_s,threshold,max_deviation
axis_1,ALERT,2255.9630000038887,2261.6360000038985,5.673000000009779,0.8,1.3876713514325767
axis_1,ALERT,2327.8210000040126,2333.4940000040224,5.673000000009779,0.8,1.3598287553050563
axis_1,ALERT,3305.468000005698,3311.1410000057076,5.673000000009779,0.8,1.1699375266361036
axis_2,ALERT,4111.034000007086,4116.707000007096,5.673000000009779,0.8,1.2924533790418977
axis_2,ALERT,5200.250000008964,5205.923000008974,5.673000000009779,0.8,1.3466317457453179
axis_3,ALERT,1681.0990000028978,1686.7720000029076,5.673000000009779,0.8,1.0401234836604507
axis_3,ALERT,3664.758000006317,3670.431000006327,5.673000000009779,0.8,1.2865824244196342
axis_5,ERROR,2271.091000003915,2276.7640000039246,5.673000000009779,1.4,2.9901971762393513
axis_5,ERROR,2284.3280000039376,2291.8920000039507,7.5640000000130385,1.4,2.766178206218372
axis_6,ALERT,4475.9970000077155,4481.670000007725,5.673000000009779,0.8,1.2722397195051418
axis_8,ALERT,200.44600000034552,206.1190000003553,5.673000000009779,0.8,1.2122336494412804
